Num entries: 11705
Num bins: 46

Volume Traded: 
KV pair: proc 0, sizes 4 4, key 0, value 5923
KV pair: proc 0, sizes 4 4, key 1, value 1012
KV pair: proc 0, sizes 4 4, key 2, value 477
KV pair: proc 0, sizes 4 4, key 3, value 347
KV pair: proc 0, sizes 4 4, key 4, value 408
KV pair: proc 0, sizes 4 4, key 5, value 497
KV pair: proc 0, sizes 4 4, key 6, value 253
KV pair: proc 0, sizes 4 4, key 7, value 135
KV pair: proc 0, sizes 4 4, key 8, value 127
KV pair: proc 0, sizes 4 4, key 9, value 168
KV pair: proc 0, sizes 4 4, key 10, value 183
KV pair: proc 0, sizes 4 4, key 11, value 175
KV pair: proc 0, sizes 4 4, key 12, value 238
KV pair: proc 0, sizes 4 4, key 13, value 279
KV pair: proc 0, sizes 4 4, key 14, value 285
KV pair: proc 0, sizes 4 4, key 15, value 243
KV pair: proc 0, sizes 4 4, key 16, value 226
KV pair: proc 0, sizes 4 4, key 17, value 139
KV pair: proc 0, sizes 4 4, key 18, value 112
KV pair: proc 0, sizes 4 4, key 19, value 96
KV pair: proc 0, sizes 4 4, key 20, value 73
KV pair: proc 0, sizes 4 4, key 21, value 54
KV pair: proc 0, sizes 4 4, key 22, value 57
KV pair: proc 0, sizes 4 4, key 23, value 39
KV pair: proc 0, sizes 4 4, key 24, value 29
KV pair: proc 0, sizes 4 4, key 25, value 32
KV pair: proc 0, sizes 4 4, key 26, value 24
KV pair: proc 0, sizes 4 4, key 27, value 14
KV pair: proc 0, sizes 4 4, key 28, value 15
KV pair: proc 0, sizes 4 4, key 29, value 11
KV pair: proc 0, sizes 4 4, key 30, value 9
KV pair: proc 0, sizes 4 4, key 31, value 3
KV pair: proc 0, sizes 4 4, key 32, value 6
KV pair: proc 0, sizes 4 4, key 33, value 2
KV pair: proc 0, sizes 4 4, key 34, value 1
KV pair: proc 0, sizes 4 4, key 35, value 5
KV pair: proc 0, sizes 4 4, key 36, value 1
KV pair: proc 0, sizes 4 4, key 37, value 4
KV pair: proc 0, sizes 4 4, key 39, value 1
KV pair: proc 0, sizes 4 4, key 41, value 1
KV pair: proc 0, sizes 4 4, key 45, value 1

Adjusted Closing Price: 
KV pair: proc 0, sizes 4 4, key 1, value 723
KV pair: proc 0, sizes 4 4, key 2, value 2522
KV pair: proc 0, sizes 4 4, key 3, value 654
KV pair: proc 0, sizes 4 4, key 4, value 199
KV pair: proc 0, sizes 4 4, key 5, value 493
KV pair: proc 0, sizes 4 4, key 6, value 371
KV pair: proc 0, sizes 4 4, key 7, value 385
KV pair: proc 0, sizes 4 4, key 8, value 316
KV pair: proc 0, sizes 4 4, key 9, value 445
KV pair: proc 0, sizes 4 4, key 10, value 282
KV pair: proc 0, sizes 4 4, key 11, value 59
KV pair: proc 0, sizes 4 4, key 12, value 95
KV pair: proc 0, sizes 4 4, key 13, value 83
KV pair: proc 0, sizes 4 4, key 14, value 139
KV pair: proc 0, sizes 4 4, key 15, value 42
KV pair: proc 0, sizes 4 4, key 16, value 82
KV pair: proc 0, sizes 4 4, key 17, value 84
KV pair: proc 0, sizes 4 4, key 18, value 133
KV pair: proc 0, sizes 4 4, key 19, value 204
KV pair: proc 0, sizes 4 4, key 20, value 178
KV pair: proc 0, sizes 4 4, key 21, value 168
KV pair: proc 0, sizes 4 4, key 22, value 153
KV pair: proc 0, sizes 4 4, key 23, value 300
KV pair: proc 0, sizes 4 4, key 24, value 424
KV pair: proc 0, sizes 4 4, key 25, value 321
KV pair: proc 0, sizes 4 4, key 26, value 297
KV pair: proc 0, sizes 4 4, key 27, value 339
KV pair: proc 0, sizes 4 4, key 28, value 346
KV pair: proc 0, sizes 4 4, key 29, value 306
KV pair: proc 0, sizes 4 4, key 30, value 291
KV pair: proc 0, sizes 4 4, key 31, value 226
KV pair: proc 0, sizes 4 4, key 32, value 160
KV pair: proc 0, sizes 4 4, key 33, value 97
KV pair: proc 0, sizes 4 4, key 34, value 25
KV pair: proc 0, sizes 4 4, key 35, value 44
KV pair: proc 0, sizes 4 4, key 36, value 55
KV pair: proc 0, sizes 4 4, key 37, value 16
KV pair: proc 0, sizes 4 4, key 38, value 34
KV pair: proc 0, sizes 4 4, key 39, value 40
KV pair: proc 0, sizes 4 4, key 40, value 81
KV pair: proc 0, sizes 4 4, key 41, value 48
KV pair: proc 0, sizes 4 4, key 42, value 75
KV pair: proc 0, sizes 4 4, key 43, value 89
KV pair: proc 0, sizes 4 4, key 44, value 110
KV pair: proc 0, sizes 4 4, key 45, value 150
KV pair: proc 0, sizes 4 4, key 46, value 21

Daily Differential: 
KV pair: proc 0, sizes 4 4, key 0, value 22
KV pair: proc 0, sizes 4 4, key 1, value 7
KV pair: proc 0, sizes 4 4, key 2, value 6
KV pair: proc 0, sizes 4 4, key 3, value 11
KV pair: proc 0, sizes 4 4, key 4, value 13
KV pair: proc 0, sizes 4 4, key 5, value 14
KV pair: proc 0, sizes 4 4, key 6, value 11
KV pair: proc 0, sizes 4 4, key 7, value 17
KV pair: proc 0, sizes 4 4, key 8, value 22
KV pair: proc 0, sizes 4 4, key 9, value 29
KV pair: proc 0, sizes 4 4, key 10, value 21
KV pair: proc 0, sizes 4 4, key 11, value 49
KV pair: proc 0, sizes 4 4, key 12, value 58
KV pair: proc 0, sizes 4 4, key 13, value 82
KV pair: proc 0, sizes 4 4, key 14, value 132
KV pair: proc 0, sizes 4 4, key 15, value 182
KV pair: proc 0, sizes 4 4, key 16, value 259
KV pair: proc 0, sizes 4 4, key 17, value 302
KV pair: proc 0, sizes 4 4, key 18, value 332
KV pair: proc 0, sizes 4 4, key 19, value 317
KV pair: proc 0, sizes 4 4, key 20, value 268
KV pair: proc 0, sizes 4 4, key 21, value 379
KV pair: proc 0, sizes 4 4, key 22, value 637
KV pair: proc 0, sizes 4 4, key 23, value 5454
KV pair: proc 0, sizes 4 4, key 24, value 1973
KV pair: proc 0, sizes 4 4, key 25, value 489
KV pair: proc 0, sizes 4 4, key 26, value 255
KV pair: proc 0, sizes 4 4, key 27, value 146
KV pair: proc 0, sizes 4 4, key 28, value 90
KV pair: proc 0, sizes 4 4, key 29, value 38
KV pair: proc 0, sizes 4 4, key 30, value 38
KV pair: proc 0, sizes 4 4, key 31, value 15
KV pair: proc 0, sizes 4 4, key 32, value 11
KV pair: proc 0, sizes 4 4, key 33, value 6
KV pair: proc 0, sizes 4 4, key 34, value 12
KV pair: proc 0, sizes 4 4, key 35, value 3
KV pair: proc 0, sizes 4 4, key 36, value 1
KV pair: proc 0, sizes 4 4, key 38, value 1
KV pair: proc 0, sizes 4 4, key 39, value 2
KV pair: proc 0, sizes 4 4, key 41, value 1
