Num entries: 8937
Num bins: 42

Volume Traded: 
KV pair: proc 0, sizes 4 4, key 0, value 3004
KV pair: proc 0, sizes 4 4, key 1, value 2839
KV pair: proc 0, sizes 4 4, key 2, value 1339
KV pair: proc 0, sizes 4 4, key 3, value 687
KV pair: proc 0, sizes 4 4, key 4, value 434
KV pair: proc 0, sizes 4 4, key 5, value 251
KV pair: proc 0, sizes 4 4, key 6, value 153
KV pair: proc 0, sizes 4 4, key 7, value 66
KV pair: proc 0, sizes 4 4, key 8, value 47
KV pair: proc 0, sizes 4 4, key 9, value 44
KV pair: proc 0, sizes 4 4, key 10, value 29
KV pair: proc 0, sizes 4 4, key 11, value 10
KV pair: proc 0, sizes 4 4, key 12, value 15
KV pair: proc 0, sizes 4 4, key 13, value 3
KV pair: proc 0, sizes 4 4, key 14, value 6
KV pair: proc 0, sizes 4 4, key 15, value 2
KV pair: proc 0, sizes 4 4, key 16, value 1
KV pair: proc 0, sizes 4 4, key 17, value 1
KV pair: proc 0, sizes 4 4, key 18, value 3
KV pair: proc 0, sizes 4 4, key 20, value 1
KV pair: proc 0, sizes 4 4, key 23, value 1
KV pair: proc 0, sizes 4 4, key 41, value 1

Adjusted Closing Price: 
KV pair: proc 0, sizes 4 4, key 0, value 5846
KV pair: proc 0, sizes 4 4, key 1, value 395
KV pair: proc 0, sizes 4 4, key 2, value 220
KV pair: proc 0, sizes 4 4, key 3, value 267
KV pair: proc 0, sizes 4 4, key 4, value 97
KV pair: proc 0, sizes 4 4, key 5, value 184
KV pair: proc 0, sizes 4 4, key 6, value 104
KV pair: proc 0, sizes 4 4, key 7, value 166
KV pair: proc 0, sizes 4 4, key 8, value 93
KV pair: proc 0, sizes 4 4, key 9, value 27
KV pair: proc 0, sizes 4 4, key 10, value 91
KV pair: proc 0, sizes 4 4, key 11, value 27
KV pair: proc 0, sizes 4 4, key 12, value 30
KV pair: proc 0, sizes 4 4, key 13, value 78
KV pair: proc 0, sizes 4 4, key 14, value 93
KV pair: proc 0, sizes 4 4, key 15, value 49
KV pair: proc 0, sizes 4 4, key 16, value 68
KV pair: proc 0, sizes 4 4, key 17, value 44
KV pair: proc 0, sizes 4 4, key 18, value 72
KV pair: proc 0, sizes 4 4, key 19, value 52
KV pair: proc 0, sizes 4 4, key 20, value 31
KV pair: proc 0, sizes 4 4, key 21, value 50
KV pair: proc 0, sizes 4 4, key 22, value 97
KV pair: proc 0, sizes 4 4, key 23, value 84
KV pair: proc 0, sizes 4 4, key 24, value 55
KV pair: proc 0, sizes 4 4, key 25, value 56
KV pair: proc 0, sizes 4 4, key 26, value 23
KV pair: proc 0, sizes 4 4, key 27, value 33
KV pair: proc 0, sizes 4 4, key 28, value 39
KV pair: proc 0, sizes 4 4, key 29, value 52
KV pair: proc 0, sizes 4 4, key 30, value 52
KV pair: proc 0, sizes 4 4, key 31, value 26
KV pair: proc 0, sizes 4 4, key 32, value 23
KV pair: proc 0, sizes 4 4, key 33, value 46
KV pair: proc 0, sizes 4 4, key 34, value 51
KV pair: proc 0, sizes 4 4, key 35, value 50
KV pair: proc 0, sizes 4 4, key 36, value 31
KV pair: proc 0, sizes 4 4, key 37, value 20
KV pair: proc 0, sizes 4 4, key 38, value 37
KV pair: proc 0, sizes 4 4, key 39, value 56
KV pair: proc 0, sizes 4 4, key 40, value 20
KV pair: proc 0, sizes 4 4, key 41, value 2

Daily Differential: 
KV pair: proc 0, sizes 4 4, key 0, value 49
KV pair: proc 0, sizes 4 4, key 1, value 72
KV pair: proc 0, sizes 4 4, key 2, value 75
KV pair: proc 0, sizes 4 4, key 3, value 74
KV pair: proc 0, sizes 4 4, key 4, value 149
KV pair: proc 0, sizes 4 4, key 5, value 133
KV pair: proc 0, sizes 4 4, key 6, value 49
KV pair: proc 0, sizes 4 4, key 7, value 26
KV pair: proc 0, sizes 4 4, key 8, value 25
KV pair: proc 0, sizes 4 4, key 9, value 44
KV pair: proc 0, sizes 4 4, key 10, value 23
KV pair: proc 0, sizes 4 4, key 11, value 27
KV pair: proc 0, sizes 4 4, key 12, value 48
KV pair: proc 0, sizes 4 4, key 13, value 39
KV pair: proc 0, sizes 4 4, key 14, value 57
KV pair: proc 0, sizes 4 4, key 15, value 50
KV pair: proc 0, sizes 4 4, key 16, value 87
KV pair: proc 0, sizes 4 4, key 17, value 147
KV pair: proc 0, sizes 4 4, key 18, value 341
KV pair: proc 0, sizes 4 4, key 19, value 1756
KV pair: proc 0, sizes 4 4, key 20, value 4387
KV pair: proc 0, sizes 4 4, key 21, value 800
KV pair: proc 0, sizes 4 4, key 22, value 264
KV pair: proc 0, sizes 4 4, key 23, value 89
KV pair: proc 0, sizes 4 4, key 24, value 46
KV pair: proc 0, sizes 4 4, key 25, value 30
KV pair: proc 0, sizes 4 4, key 26, value 15
KV pair: proc 0, sizes 4 4, key 27, value 11
KV pair: proc 0, sizes 4 4, key 28, value 8
KV pair: proc 0, sizes 4 4, key 29, value 6
KV pair: proc 0, sizes 4 4, key 30, value 4
KV pair: proc 0, sizes 4 4, key 31, value 2
KV pair: proc 0, sizes 4 4, key 34, value 1
KV pair: proc 0, sizes 4 4, key 37, value 1
KV pair: proc 0, sizes 4 4, key 38, value 1
KV pair: proc 0, sizes 4 4, key 41, value 1
