Num entries: 6592
Num bins: 38

Volume Traded: 
KV pair: proc 0, sizes 4 4, key 0, value 308
KV pair: proc 0, sizes 4 4, key 1, value 1896
KV pair: proc 0, sizes 4 4, key 2, value 2291
KV pair: proc 0, sizes 4 4, key 3, value 1048
KV pair: proc 0, sizes 4 4, key 4, value 479
KV pair: proc 0, sizes 4 4, key 5, value 267
KV pair: proc 0, sizes 4 4, key 6, value 110
KV pair: proc 0, sizes 4 4, key 7, value 68
KV pair: proc 0, sizes 4 4, key 8, value 37
KV pair: proc 0, sizes 4 4, key 9, value 29
KV pair: proc 0, sizes 4 4, key 10, value 20
KV pair: proc 0, sizes 4 4, key 11, value 10
KV pair: proc 0, sizes 4 4, key 12, value 6
KV pair: proc 0, sizes 4 4, key 13, value 8
KV pair: proc 0, sizes 4 4, key 14, value 1
KV pair: proc 0, sizes 4 4, key 15, value 3
KV pair: proc 0, sizes 4 4, key 16, value 2
KV pair: proc 0, sizes 4 4, key 17, value 1
KV pair: proc 0, sizes 4 4, key 20, value 1
KV pair: proc 0, sizes 4 4, key 21, value 1
KV pair: proc 0, sizes 4 4, key 23, value 2
KV pair: proc 0, sizes 4 4, key 25, value 2
KV pair: proc 0, sizes 4 4, key 32, value 1
KV pair: proc 0, sizes 4 4, key 37, value 1

Adjusted Closing Price: 
KV pair: proc 0, sizes 4 4, key 0, value 1262
KV pair: proc 0, sizes 4 4, key 1, value 183
KV pair: proc 0, sizes 4 4, key 2, value 240
KV pair: proc 0, sizes 4 4, key 3, value 208
KV pair: proc 0, sizes 4 4, key 4, value 128
KV pair: proc 0, sizes 4 4, key 5, value 122
KV pair: proc 0, sizes 4 4, key 6, value 264
KV pair: proc 0, sizes 4 4, key 7, value 501
KV pair: proc 0, sizes 4 4, key 8, value 742
KV pair: proc 0, sizes 4 4, key 9, value 553
KV pair: proc 0, sizes 4 4, key 10, value 535
KV pair: proc 0, sizes 4 4, key 11, value 469
KV pair: proc 0, sizes 4 4, key 12, value 446
KV pair: proc 0, sizes 4 4, key 13, value 207
KV pair: proc 0, sizes 4 4, key 14, value 287
KV pair: proc 0, sizes 4 4, key 15, value 100
KV pair: proc 0, sizes 4 4, key 16, value 37
KV pair: proc 0, sizes 4 4, key 17, value 13
KV pair: proc 0, sizes 4 4, key 18, value 8
KV pair: proc 0, sizes 4 4, key 19, value 14
KV pair: proc 0, sizes 4 4, key 20, value 5
KV pair: proc 0, sizes 4 4, key 21, value 6
KV pair: proc 0, sizes 4 4, key 22, value 10
KV pair: proc 0, sizes 4 4, key 23, value 28
KV pair: proc 0, sizes 4 4, key 24, value 31
KV pair: proc 0, sizes 4 4, key 25, value 25
KV pair: proc 0, sizes 4 4, key 26, value 13
KV pair: proc 0, sizes 4 4, key 27, value 12
KV pair: proc 0, sizes 4 4, key 28, value 19
KV pair: proc 0, sizes 4 4, key 29, value 38
KV pair: proc 0, sizes 4 4, key 30, value 38
KV pair: proc 0, sizes 4 4, key 31, value 25
KV pair: proc 0, sizes 4 4, key 32, value 8
KV pair: proc 0, sizes 4 4, key 33, value 7
KV pair: proc 0, sizes 4 4, key 34, value 2
KV pair: proc 0, sizes 4 4, key 35, value 3
KV pair: proc 0, sizes 4 4, key 36, value 2
KV pair: proc 0, sizes 4 4, key 37, value 1

Daily Differential: 
KV pair: proc 0, sizes 4 4, key 0, value 137
KV pair: proc 0, sizes 4 4, key 1, value 1109
KV pair: proc 0, sizes 4 4, key 2, value 1974
KV pair: proc 0, sizes 4 4, key 3, value 624
KV pair: proc 0, sizes 4 4, key 4, value 54
KV pair: proc 0, sizes 4 4, key 5, value 44
KV pair: proc 0, sizes 4 4, key 6, value 46
KV pair: proc 0, sizes 4 4, key 7, value 56
KV pair: proc 0, sizes 4 4, key 8, value 76
KV pair: proc 0, sizes 4 4, key 9, value 64
KV pair: proc 0, sizes 4 4, key 10, value 72
KV pair: proc 0, sizes 4 4, key 11, value 73
KV pair: proc 0, sizes 4 4, key 12, value 54
KV pair: proc 0, sizes 4 4, key 13, value 41
KV pair: proc 0, sizes 4 4, key 14, value 42
KV pair: proc 0, sizes 4 4, key 15, value 79
KV pair: proc 0, sizes 4 4, key 16, value 109
KV pair: proc 0, sizes 4 4, key 17, value 243
KV pair: proc 0, sizes 4 4, key 18, value 341
KV pair: proc 0, sizes 4 4, key 19, value 553
KV pair: proc 0, sizes 4 4, key 20, value 366
KV pair: proc 0, sizes 4 4, key 21, value 219
KV pair: proc 0, sizes 4 4, key 22, value 125
KV pair: proc 0, sizes 4 4, key 23, value 52
KV pair: proc 0, sizes 4 4, key 24, value 25
KV pair: proc 0, sizes 4 4, key 25, value 6
KV pair: proc 0, sizes 4 4, key 26, value 6
KV pair: proc 0, sizes 4 4, key 28, value 1
KV pair: proc 0, sizes 4 4, key 29, value 1
