Num entries: 2960
Num bins: 29

Volume Traded: 
KV pair: proc 0, sizes 4 4, key 0, value 553
KV pair: proc 0, sizes 4 4, key 1, value 888
KV pair: proc 0, sizes 4 4, key 2, value 515
KV pair: proc 0, sizes 4 4, key 3, value 281
KV pair: proc 0, sizes 4 4, key 4, value 245
KV pair: proc 0, sizes 4 4, key 5, value 156
KV pair: proc 0, sizes 4 4, key 6, value 89
KV pair: proc 0, sizes 4 4, key 7, value 69
KV pair: proc 0, sizes 4 4, key 8, value 40
KV pair: proc 0, sizes 4 4, key 9, value 26
KV pair: proc 0, sizes 4 4, key 10, value 25
KV pair: proc 0, sizes 4 4, key 11, value 12
KV pair: proc 0, sizes 4 4, key 12, value 18
KV pair: proc 0, sizes 4 4, key 13, value 8
KV pair: proc 0, sizes 4 4, key 14, value 9
KV pair: proc 0, sizes 4 4, key 15, value 10
KV pair: proc 0, sizes 4 4, key 16, value 2
KV pair: proc 0, sizes 4 4, key 17, value 3
KV pair: proc 0, sizes 4 4, key 18, value 1
KV pair: proc 0, sizes 4 4, key 19, value 1
KV pair: proc 0, sizes 4 4, key 22, value 3
KV pair: proc 0, sizes 4 4, key 24, value 1
KV pair: proc 0, sizes 4 4, key 25, value 2
KV pair: proc 0, sizes 4 4, key 26, value 1
KV pair: proc 0, sizes 4 4, key 27, value 1
KV pair: proc 0, sizes 4 4, key 28, value 1

Adjusted Closing Price: 
KV pair: proc 0, sizes 4 4, key 1, value 13
KV pair: proc 0, sizes 4 4, key 2, value 32
KV pair: proc 0, sizes 4 4, key 3, value 125
KV pair: proc 0, sizes 4 4, key 4, value 28
KV pair: proc 0, sizes 4 4, key 5, value 146
KV pair: proc 0, sizes 4 4, key 6, value 120
KV pair: proc 0, sizes 4 4, key 7, value 241
KV pair: proc 0, sizes 4 4, key 8, value 286
KV pair: proc 0, sizes 4 4, key 9, value 323
KV pair: proc 0, sizes 4 4, key 10, value 309
KV pair: proc 0, sizes 4 4, key 11, value 304
KV pair: proc 0, sizes 4 4, key 12, value 106
KV pair: proc 0, sizes 4 4, key 13, value 72
KV pair: proc 0, sizes 4 4, key 14, value 50
KV pair: proc 0, sizes 4 4, key 15, value 39
KV pair: proc 0, sizes 4 4, key 16, value 92
KV pair: proc 0, sizes 4 4, key 17, value 22
KV pair: proc 0, sizes 4 4, key 18, value 8
KV pair: proc 0, sizes 4 4, key 19, value 64
KV pair: proc 0, sizes 4 4, key 20, value 169
KV pair: proc 0, sizes 4 4, key 21, value 113
KV pair: proc 0, sizes 4 4, key 22, value 84
KV pair: proc 0, sizes 4 4, key 23, value 7
KV pair: proc 0, sizes 4 4, key 24, value 25
KV pair: proc 0, sizes 4 4, key 25, value 27
KV pair: proc 0, sizes 4 4, key 26, value 28
KV pair: proc 0, sizes 4 4, key 27, value 46
KV pair: proc 0, sizes 4 4, key 28, value 59
KV pair: proc 0, sizes 4 4, key 29, value 22

Daily Differential: 
KV pair: proc 0, sizes 4 4, key 0, value 12
KV pair: proc 0, sizes 4 4, key 1, value 6
KV pair: proc 0, sizes 4 4, key 2, value 6
KV pair: proc 0, sizes 4 4, key 3, value 13
KV pair: proc 0, sizes 4 4, key 4, value 17
KV pair: proc 0, sizes 4 4, key 5, value 17
KV pair: proc 0, sizes 4 4, key 6, value 17
KV pair: proc 0, sizes 4 4, key 7, value 33
KV pair: proc 0, sizes 4 4, key 8, value 57
KV pair: proc 0, sizes 4 4, key 9, value 98
KV pair: proc 0, sizes 4 4, key 10, value 140
KV pair: proc 0, sizes 4 4, key 11, value 138
KV pair: proc 0, sizes 4 4, key 12, value 161
KV pair: proc 0, sizes 4 4, key 13, value 127
KV pair: proc 0, sizes 4 4, key 14, value 136
KV pair: proc 0, sizes 4 4, key 15, value 230
KV pair: proc 0, sizes 4 4, key 16, value 335
KV pair: proc 0, sizes 4 4, key 17, value 522
KV pair: proc 0, sizes 4 4, key 18, value 412
KV pair: proc 0, sizes 4 4, key 19, value 239
KV pair: proc 0, sizes 4 4, key 20, value 122
KV pair: proc 0, sizes 4 4, key 21, value 66
KV pair: proc 0, sizes 4 4, key 22, value 35
KV pair: proc 0, sizes 4 4, key 23, value 13
KV pair: proc 0, sizes 4 4, key 24, value 4
KV pair: proc 0, sizes 4 4, key 25, value 3
KV pair: proc 0, sizes 4 4, key 26, value 1
