Num entries: 7612
Num bins: 40

Volume Traded: 
KV pair: proc 0, sizes 4 4, key 0, value 457
KV pair: proc 0, sizes 4 4, key 1, value 2819
KV pair: proc 0, sizes 4 4, key 2, value 2552
KV pair: proc 0, sizes 4 4, key 3, value 1054
KV pair: proc 0, sizes 4 4, key 4, value 397
KV pair: proc 0, sizes 4 4, key 5, value 158
KV pair: proc 0, sizes 4 4, key 6, value 78
KV pair: proc 0, sizes 4 4, key 7, value 40
KV pair: proc 0, sizes 4 4, key 8, value 17
KV pair: proc 0, sizes 4 4, key 9, value 14
KV pair: proc 0, sizes 4 4, key 10, value 7
KV pair: proc 0, sizes 4 4, key 11, value 10
KV pair: proc 0, sizes 4 4, key 12, value 5
KV pair: proc 0, sizes 4 4, key 22, value 1
KV pair: proc 0, sizes 4 4, key 28, value 1
KV pair: proc 0, sizes 4 4, key 29, value 1
KV pair: proc 0, sizes 4 4, key 39, value 1

Adjusted Closing Price: 
KV pair: proc 0, sizes 4 4, key 0, value 1447
KV pair: proc 0, sizes 4 4, key 1, value 825
KV pair: proc 0, sizes 4 4, key 2, value 252
KV pair: proc 0, sizes 4 4, key 3, value 139
KV pair: proc 0, sizes 4 4, key 4, value 67
KV pair: proc 0, sizes 4 4, key 5, value 69
KV pair: proc 0, sizes 4 4, key 6, value 21
KV pair: proc 0, sizes 4 4, key 7, value 91
KV pair: proc 0, sizes 4 4, key 8, value 98
KV pair: proc 0, sizes 4 4, key 9, value 52
KV pair: proc 0, sizes 4 4, key 10, value 127
KV pair: proc 0, sizes 4 4, key 11, value 204
KV pair: proc 0, sizes 4 4, key 12, value 432
KV pair: proc 0, sizes 4 4, key 13, value 567
KV pair: proc 0, sizes 4 4, key 14, value 511
KV pair: proc 0, sizes 4 4, key 15, value 485
KV pair: proc 0, sizes 4 4, key 16, value 530
KV pair: proc 0, sizes 4 4, key 17, value 287
KV pair: proc 0, sizes 4 4, key 18, value 210
KV pair: proc 0, sizes 4 4, key 19, value 168
KV pair: proc 0, sizes 4 4, key 20, value 106
KV pair: proc 0, sizes 4 4, key 21, value 97
KV pair: proc 0, sizes 4 4, key 22, value 116
KV pair: proc 0, sizes 4 4, key 23, value 58
KV pair: proc 0, sizes 4 4, key 24, value 63
KV pair: proc 0, sizes 4 4, key 25, value 28
KV pair: proc 0, sizes 4 4, key 26, value 52
KV pair: proc 0, sizes 4 4, key 27, value 56
KV pair: proc 0, sizes 4 4, key 28, value 52
KV pair: proc 0, sizes 4 4, key 29, value 63
KV pair: proc 0, sizes 4 4, key 30, value 58
KV pair: proc 0, sizes 4 4, key 31, value 82
KV pair: proc 0, sizes 4 4, key 32, value 52
KV pair: proc 0, sizes 4 4, key 33, value 4
KV pair: proc 0, sizes 4 4, key 34, value 15
KV pair: proc 0, sizes 4 4, key 35, value 35
KV pair: proc 0, sizes 4 4, key 36, value 31
KV pair: proc 0, sizes 4 4, key 37, value 38
KV pair: proc 0, sizes 4 4, key 38, value 23
KV pair: proc 0, sizes 4 4, key 39, value 1

Daily Differential: 
KV pair: proc 0, sizes 4 4, key 0, value 51
KV pair: proc 0, sizes 4 4, key 1, value 116
KV pair: proc 0, sizes 4 4, key 2, value 751
KV pair: proc 0, sizes 4 4, key 3, value 2354
KV pair: proc 0, sizes 4 4, key 4, value 450
KV pair: proc 0, sizes 4 4, key 5, value 172
KV pair: proc 0, sizes 4 4, key 6, value 149
KV pair: proc 0, sizes 4 4, key 7, value 134
KV pair: proc 0, sizes 4 4, key 8, value 126
KV pair: proc 0, sizes 4 4, key 9, value 158
KV pair: proc 0, sizes 4 4, key 10, value 198
KV pair: proc 0, sizes 4 4, key 11, value 299
KV pair: proc 0, sizes 4 4, key 12, value 498
KV pair: proc 0, sizes 4 4, key 13, value 516
KV pair: proc 0, sizes 4 4, key 14, value 399
KV pair: proc 0, sizes 4 4, key 15, value 376
KV pair: proc 0, sizes 4 4, key 16, value 190
KV pair: proc 0, sizes 4 4, key 17, value 111
KV pair: proc 0, sizes 4 4, key 18, value 82
KV pair: proc 0, sizes 4 4, key 19, value 48
KV pair: proc 0, sizes 4 4, key 20, value 38
KV pair: proc 0, sizes 4 4, key 21, value 16
KV pair: proc 0, sizes 4 4, key 22, value 41
KV pair: proc 0, sizes 4 4, key 23, value 92
KV pair: proc 0, sizes 4 4, key 24, value 92
KV pair: proc 0, sizes 4 4, key 25, value 64
KV pair: proc 0, sizes 4 4, key 26, value 26
KV pair: proc 0, sizes 4 4, key 27, value 24
KV pair: proc 0, sizes 4 4, key 28, value 14
KV pair: proc 0, sizes 4 4, key 29, value 10
KV pair: proc 0, sizes 4 4, key 30, value 4
KV pair: proc 0, sizes 4 4, key 31, value 5
KV pair: proc 0, sizes 4 4, key 32, value 3
KV pair: proc 0, sizes 4 4, key 34, value 2
KV pair: proc 0, sizes 4 4, key 35, value 1
KV pair: proc 0, sizes 4 4, key 36, value 2
