Num entries: 11423
Num bins: 46

Volume Traded: 
KV pair: proc 0, sizes 4 4, key 0, value 3859
KV pair: proc 0, sizes 4 4, key 1, value 1564
KV pair: proc 0, sizes 4 4, key 2, value 497
KV pair: proc 0, sizes 4 4, key 3, value 271
KV pair: proc 0, sizes 4 4, key 4, value 173
KV pair: proc 0, sizes 4 4, key 5, value 225
KV pair: proc 0, sizes 4 4, key 6, value 223
KV pair: proc 0, sizes 4 4, key 7, value 175
KV pair: proc 0, sizes 4 4, key 8, value 124
KV pair: proc 0, sizes 4 4, key 9, value 101
KV pair: proc 0, sizes 4 4, key 10, value 76
KV pair: proc 0, sizes 4 4, key 11, value 61
KV pair: proc 0, sizes 4 4, key 12, value 98
KV pair: proc 0, sizes 4 4, key 13, value 150
KV pair: proc 0, sizes 4 4, key 14, value 232
KV pair: proc 0, sizes 4 4, key 15, value 327
KV pair: proc 0, sizes 4 4, key 16, value 457
KV pair: proc 0, sizes 4 4, key 17, value 516
KV pair: proc 0, sizes 4 4, key 18, value 510
KV pair: proc 0, sizes 4 4, key 19, value 486
KV pair: proc 0, sizes 4 4, key 20, value 338
KV pair: proc 0, sizes 4 4, key 21, value 280
KV pair: proc 0, sizes 4 4, key 22, value 200
KV pair: proc 0, sizes 4 4, key 23, value 135
KV pair: proc 0, sizes 4 4, key 24, value 100
KV pair: proc 0, sizes 4 4, key 25, value 68
KV pair: proc 0, sizes 4 4, key 26, value 44
KV pair: proc 0, sizes 4 4, key 27, value 40
KV pair: proc 0, sizes 4 4, key 28, value 19
KV pair: proc 0, sizes 4 4, key 29, value 12
KV pair: proc 0, sizes 4 4, key 30, value 15
KV pair: proc 0, sizes 4 4, key 31, value 10
KV pair: proc 0, sizes 4 4, key 32, value 8
KV pair: proc 0, sizes 4 4, key 33, value 6
KV pair: proc 0, sizes 4 4, key 34, value 6
KV pair: proc 0, sizes 4 4, key 35, value 4
KV pair: proc 0, sizes 4 4, key 36, value 1
KV pair: proc 0, sizes 4 4, key 37, value 4
KV pair: proc 0, sizes 4 4, key 38, value 2
KV pair: proc 0, sizes 4 4, key 39, value 3
KV pair: proc 0, sizes 4 4, key 41, value 2
KV pair: proc 0, sizes 4 4, key 45, value 1

Adjusted Closing Price: 
KV pair: proc 0, sizes 4 4, key 0, value 1523
KV pair: proc 0, sizes 4 4, key 1, value 1466
KV pair: proc 0, sizes 4 4, key 2, value 895
KV pair: proc 0, sizes 4 4, key 3, value 1096
KV pair: proc 0, sizes 4 4, key 4, value 359
KV pair: proc 0, sizes 4 4, key 5, value 264
KV pair: proc 0, sizes 4 4, key 6, value 482
KV pair: proc 0, sizes 4 4, key 7, value 69
KV pair: proc 0, sizes 4 4, key 8, value 91
KV pair: proc 0, sizes 4 4, key 9, value 166
KV pair: proc 0, sizes 4 4, key 10, value 161
KV pair: proc 0, sizes 4 4, key 11, value 214
KV pair: proc 0, sizes 4 4, key 12, value 158
KV pair: proc 0, sizes 4 4, key 13, value 202
KV pair: proc 0, sizes 4 4, key 14, value 213
KV pair: proc 0, sizes 4 4, key 15, value 222
KV pair: proc 0, sizes 4 4, key 16, value 316
KV pair: proc 0, sizes 4 4, key 17, value 337
KV pair: proc 0, sizes 4 4, key 18, value 373
KV pair: proc 0, sizes 4 4, key 19, value 288
KV pair: proc 0, sizes 4 4, key 20, value 289
KV pair: proc 0, sizes 4 4, key 21, value 281
KV pair: proc 0, sizes 4 4, key 22, value 236
KV pair: proc 0, sizes 4 4, key 23, value 194
KV pair: proc 0, sizes 4 4, key 24, value 188
KV pair: proc 0, sizes 4 4, key 25, value 103
KV pair: proc 0, sizes 4 4, key 26, value 98
KV pair: proc 0, sizes 4 4, key 27, value 87
KV pair: proc 0, sizes 4 4, key 28, value 52
KV pair: proc 0, sizes 4 4, key 29, value 43
KV pair: proc 0, sizes 4 4, key 30, value 42
KV pair: proc 0, sizes 4 4, key 31, value 55
KV pair: proc 0, sizes 4 4, key 32, value 47
KV pair: proc 0, sizes 4 4, key 33, value 48
KV pair: proc 0, sizes 4 4, key 34, value 62
KV pair: proc 0, sizes 4 4, key 35, value 77
KV pair: proc 0, sizes 4 4, key 36, value 66
KV pair: proc 0, sizes 4 4, key 37, value 53
KV pair: proc 0, sizes 4 4, key 38, value 60
KV pair: proc 0, sizes 4 4, key 39, value 62
KV pair: proc 0, sizes 4 4, key 40, value 63
KV pair: proc 0, sizes 4 4, key 41, value 89
KV pair: proc 0, sizes 4 4, key 42, value 68
KV pair: proc 0, sizes 4 4, key 43, value 87
KV pair: proc 0, sizes 4 4, key 44, value 74
KV pair: proc 0, sizes 4 4, key 45, value 4

Daily Differential: 
KV pair: proc 0, sizes 4 4, key 0, value 22
KV pair: proc 0, sizes 4 4, key 1, value 15
KV pair: proc 0, sizes 4 4, key 2, value 8
KV pair: proc 0, sizes 4 4, key 3, value 21
KV pair: proc 0, sizes 4 4, key 4, value 21
KV pair: proc 0, sizes 4 4, key 5, value 28
KV pair: proc 0, sizes 4 4, key 6, value 40
KV pair: proc 0, sizes 4 4, key 7, value 50
KV pair: proc 0, sizes 4 4, key 8, value 114
KV pair: proc 0, sizes 4 4, key 9, value 201
KV pair: proc 0, sizes 4 4, key 10, value 370
KV pair: proc 0, sizes 4 4, key 11, value 656
KV pair: proc 0, sizes 4 4, key 12, value 967
KV pair: proc 0, sizes 4 4, key 13, value 829
KV pair: proc 0, sizes 4 4, key 14, value 427
KV pair: proc 0, sizes 4 4, key 15, value 162
KV pair: proc 0, sizes 4 4, key 16, value 110
KV pair: proc 0, sizes 4 4, key 17, value 81
KV pair: proc 0, sizes 4 4, key 18, value 135
KV pair: proc 0, sizes 4 4, key 19, value 1177
KV pair: proc 0, sizes 4 4, key 20, value 5735
KV pair: proc 0, sizes 4 4, key 21, value 130
KV pair: proc 0, sizes 4 4, key 22, value 46
KV pair: proc 0, sizes 4 4, key 23, value 34
KV pair: proc 0, sizes 4 4, key 24, value 15
KV pair: proc 0, sizes 4 4, key 25, value 8
KV pair: proc 0, sizes 4 4, key 26, value 7
KV pair: proc 0, sizes 4 4, key 27, value 4
KV pair: proc 0, sizes 4 4, key 28, value 2
KV pair: proc 0, sizes 4 4, key 29, value 3
KV pair: proc 0, sizes 4 4, key 30, value 1
KV pair: proc 0, sizes 4 4, key 31, value 2
KV pair: proc 0, sizes 4 4, key 34, value 1
KV pair: proc 0, sizes 4 4, key 37, value 1
